DCid	Species	GSMID	Factor	Cell_line	Cell_type	Tissue_type	FastQC	UniquelyMappedRatio	PBC	PeaksFoldChangeAbove10	FRiP	PeaksUnionDHSRatio
3888	Homo sapiens	GSM621438	H3K4me3	None	Epithelium	Kidney	31.0	0.7959	0.993	5507.0	0.1773605	0.9756
3889	Homo sapiens	GSM621437	H3K4me3	None	Haematopoietic Progenitor Cell	Blood	28.0	0.7975	0.951	3803.0	0.1778885	0.9726
3890	Homo sapiens	GSM621435	H3K4me3	None	Adipocyte	Adipose	9.0	0.9875	1.0	6376.0	0.2712775	0.98
3891	Homo sapiens	GSM621432	H3K4me3	None	None	Duodenum Mucosa	9.0	0.9867	1.0	3913.0	0.23084725	0.9772
3892	Homo sapiens	GSM621422	H3K4me3	None	Mesenchymal Stem Cell	Bone Marrow	9.0	0.9922	1.0	9483.0	0.518651	0.9754
3893	Homo sapiens	GSM621417	H3K4me3	None	Epithelium	Lung	30.0	0.7494	0.995	3480.0	0.12662675	0.9724
3894	Homo sapiens	GSM621405	H3K4me3	None	Epithelium	Lung	29.0	0.732	0.983	2357.0	0.1056305	0.9638
3895	Homo sapiens	GSM621404	H3K4me3	None	Haematopoietic Progenitor Cell	Blood	31.0	0.3359	0.665	5813.0	0.36000175	0.9768
3897	Homo sapiens	GSM613884	H3K4me3	None	Monocyte	Blood	9.0	0.9091	0.9990000000000001	51.0	0.03562925	0.9492
3898	Homo sapiens	GSM613881	H3K4me3	None	T Lymphocyte	Blood	9.0	0.9196	0.995	3278.0	0.21326375	0.9768
3899	Homo sapiens	GSM613874	H3K4me3	None	Epithelium	Mammary Gland	9.0	0.9216	0.9890000000000001	2747.0	0.34910875	0.9702
3900	Homo sapiens	GSM613869	H3K4me3	None	Epithelium	Mammary Gland	9.0	0.9154	0.995	1870.0	0.19235175	0.8728
3901	Homo sapiens	GSM613811	H3K4me3	None	T Lymphocyte	Blood	9.0	0.9158	0.997	1612.0	0.14719200000000002	0.9740000000000001
3905	Homo sapiens	GSM537709	H3K4me3	None	Hepatocyte	Liver	9.0	0.9790000000000001	1.0	753.0	0.12396475	0.9578
3906	Homo sapiens	GSM537702	H3K4me3	None	None	Cord blood	30.0	0.8205	0.8420000000000001	5719.0	0.567511	0.9796
3907	Homo sapiens	GSM537697	H3K4me3	None	Hepatocyte	Liver	9.0	0.9812	1.0	1275.0	0.089318	0.9672
3908	Homo sapiens	GSM537652	H3K4me3	None	Haematopoietic Progenitor Cell	Blood	29.0	0.6752	0.878	4847.0	0.4593995	0.9738
3909	Homo sapiens	GSM537643	H3K4me3	None	Epithelium	Pancreatic Islet	9.0	0.9857	0.993	1559.0	0.265007	0.9604
3910	Homo sapiens	GSM537633	H3K4me3	None	T Lymphocyte	Cord blood	9.0	0.9193	0.9940000000000001	1438.0	0.1766755	0.9616
3911	Homo sapiens	GSM537632	H3K4me3	None	B Lymphocyte	Cord blood	23.0	0.4656	0.917	3972.0	0.20068775	0.9562
3912	Homo sapiens	GSM537629	H3K4me3	None	Haematopoietic Progenitor Cell	Cord blood	30.0	0.6824	0.961	1292.0	0.25569875	0.9698
3913	Homo sapiens	GSM537622	H3K4me3	None	B Lymphocyte	Cord blood	15.0	0.4298	0.9690000000000001	270.0	0.138633980367	0.9414
3914	Homo sapiens	GSM537615	H3K4me3	None	T Lymphocyte	Cord blood	9.0	0.9219	0.993	1495.0	0.24861575	0.9718
3921	Homo sapiens	GSM486711	H3K4me3	None	Haematopoietic Progenitor Cell	Blood	9.0	0.9119	0.995	1202.0	0.13733925	0.9546
3922	Homo sapiens	GSM486709	H3K4me3	None	Haematopoietic Progenitor Cell	Blood	9.0	0.932	0.9890000000000001	1353.0	0.3255985	0.973
3927	Homo sapiens	GSM599836	H3K56ac	None	Adipocyte	Adipose	30.0	0.8127	0.991	556.0	0.049888	0.9592
3936	Homo sapiens	GSM721211	H3K79me2	None	Leukemic Blast Cell	Bone Marrow	33.0	0.7615	0.978	40.0	0.073239	0.5884
3937	Homo sapiens	GSM721210	H3K79me2	None	Leukemic Blast Cell	Bone Marrow	33.0	0.7943	0.965	45.0	0.04485525	0.6106
3940	Homo sapiens	GSM638318	H3K79me2	None	Haematopoietic Progenitor Cell	Cord blood	24.0	0.4688	0.763	10.0	0.00063475	0.634146341463
3941	Homo sapiens	GSM586886	H3K79me2	None	Epithelium	Pancreatic Islet	32.0	0.774	0.99	6.0	5.550000000000001e-05	0.8
3942	Homo sapiens	GSM586881	H3K79me2	None	Epithelium	Pancreatic Islet	30.0	0.6994	0.968	29.0	0.0006915000000000001	0.516666666667
3943	Homo sapiens	GSM586877	H3K79me2	None	Epithelium	Pancreatic Islet	30.0	0.747	0.95	3.0	7.8e-05	0.578947368421
3944	Homo sapiens	GSM417827	H3K79me2	None	T Lymphocyte	Blood	29.0	0.5442	0.982	13.0	0.00143925	0.678571428571
3948	Homo sapiens	GSM468216	H3K9ac, H3K14ac	None	Promyelocytic cell	Bone Marrow	30.0	0.8453	0.943	12859.0	0.50570375	0.9718
3949	Homo sapiens	GSM468215	H3K9ac, H3K14ac	None	Promyelocytic cell	Bone Marrow	30.0	0.8456	0.9490000000000001	4750.0	0.35088600000000003	0.9726
3950	Homo sapiens	GSM468208	H3K9ac, H3K14ac	MR4	Promyelocytic cell	Bone Marrow	30.0	0.8152	0.9520000000000001	10769.0	0.40897025	0.9702
3951	Homo sapiens	GSM468194	H3K9ac, H3K14ac	None	Promyelocytic cell	Bone Marrow	26.0	0.6327	0.894	75.0	0.0024905	0.860240963855
3952	Homo sapiens	GSM468192	H3K9ac, H3K14ac	None	Promyelocytic cell	Bone Marrow	26.0	0.6442	0.924	29.0	0.0014470000000000002	0.597826086957
3964	Homo sapiens	GSM393960	H3K9ac	None	T Lymphocyte	Blood	24.0	0.6066	0.9159999999999999	2376.0	0.24488400000000002	0.971
3965	Homo sapiens	GSM393959	H3K9ac	None	T Lymphocyte	Blood	23.0	0.5204	0.885	2247.0	0.27148425	0.9614
3966	Homo sapiens	GSM393958	H3K9ac	None	T Lymphocyte	Blood	20.0	0.4349	0.956	1162.0	0.036227999999999996	0.9494
3967	Homo sapiens	GSM670032	H3K9ac	None	None	Cingulate Gyrus	9.0	0.9906	0.9990000000000001	101.0	0.08297975	0.9698
3968	Homo sapiens	GSM670030	H3K9ac	None	Chondrocyte	Cartilage	9.0	0.9925	0.998	475.0	0.16979175	0.9754
3969	Homo sapiens	GSM670027	H3K9ac	None	Adipocyte	Adipose	9.0	0.9896	0.9990000000000001	68.0	0.05484575	0.9640000000000001
3970	Homo sapiens	GSM670021	H3K9ac	None	None	Mid Frontal Lobe	9.0	0.9904	0.9990000000000001	71.0	0.0609475	0.9628
3972	Homo sapiens	GSM669999	H3K9ac	None	Mesenchymal Stem Cell	Bone Marrow	9.0	0.9892	0.9990000000000001	85.0	0.03583575	0.9556
3973	Homo sapiens	GSM669983	H3K9ac	None	Mesenchymal Stem Cell	Bone Marrow	9.0	0.9918	0.996	1563.0	0.2505775	0.9768
3974	Homo sapiens	GSM669977	H3K9ac	None	Substantia Nigra Cell	Brain	9.0	0.9908	0.9990000000000001	85.0	0.074573	0.968
3975	Homo sapiens	GSM669950	H3K9ac	None	Anterior Caudate Cell	Brain	9.0	0.9903	0.9990000000000001	47.0	0.0613605	0.9618
3976	Homo sapiens	GSM669949	H3K9ac	None	None	Rectal Mucosa	9.0	0.9897	1.0	296.0	0.05259125	0.9694
3977	Homo sapiens	GSM669938	H3K9ac	None	Adipocyte	Adipose	9.0	0.9902	0.9990000000000001	154.0	0.09058825	0.9698
3978	Homo sapiens	GSM669937	H3K9ac	None	Mesenchymal Stem Cell	Bone Marrow	9.0	0.9906	0.996	884.0	0.2275445	0.9768
3979	Homo sapiens	GSM669922	H3K9ac	None	Adipocyte	Adipose	9.0	0.9905	0.9990000000000001	58.0	0.05641	0.9608
3980	Homo sapiens	GSM669921	H3K9ac	None	None	Fetal Stomach	9.0	0.9905	0.9990000000000001	80.0	0.060002	0.9686
3981	Homo sapiens	GSM669918	H3K9ac	None	Inferior Temporal Lobe Cell	Brain	9.0	0.9903	0.9990000000000001	114.0	0.080123	0.9666
3982	Homo sapiens	GSM669917	H3K9ac	None	Chondrocyte	Cartilage	9.0	0.9927	0.996	680.0	0.24966975	0.9718
3984	Homo sapiens	GSM669904	H3K9ac	None	Adipocyte	Adipose	9.0	0.9906	0.9990000000000001	87.0	0.062067	0.965
3987	Homo sapiens	GSM621691	H3K9ac	None	None	Skeletal Muscle	9.0	0.9912	1.0	2974.0	0.20801825	0.9754
3989	Homo sapiens	GSM621682	H3K9ac	None	None	Skeletal Muscle	9.0	0.9892	1.0	1291.0	0.14044500000000001	0.9706
3990	Homo sapiens	GSM621674	H3K9ac	None	Epithelium	Colon	9.0	0.9887	1.0	1503.0	0.09608925	0.9692
3991	Homo sapiens	GSM621661	H3K9ac	None	None	Muscle	9.0	0.9881	1.0	208.0	0.02435125	0.9540000000000001
3992	Homo sapiens	GSM621636	H3K9ac	None	None	Rectal Mucosa	9.0	0.9898	1.0	395.0	0.055047000000000006	0.9646
3993	Homo sapiens	GSM621630	H3K9ac	None	Hepatocyte	Liver	9.0	0.9911	1.0	247.0	0.06285750000000001	0.9452
3994	Homo sapiens	GSM621445	H3K9ac	None	None	Duodenum Mucosa	9.0	0.9895	1.0	249.0	0.0575915	0.9694
3995	Homo sapiens	GSM621442	H3K9ac	None	Mesenchymal Stem Cell	Bone Marrow	9.0	0.9916	1.0	3388.0	0.26746975	0.9766
3996	Homo sapiens	GSM621430	H3K9ac	None	Epithelium	Kidney	31.0	0.8083	0.988	2864.0	0.09617575	0.9718
3997	Homo sapiens	GSM621400	H3K9ac	None	Epithelium	Lung	32.0	0.8125	0.986	606.0	0.05782025	0.9670000000000001
3998	Homo sapiens	GSM613889	H3K9ac	None	Epithelium	Mammary Gland	9.0	0.9229	0.9990000000000001	199.0	0.00509625	0.778211200892
3999	Homo sapiens	GSM613883	H3K9ac	None	Monocyte	Blood	9.0	0.9091	0.9990000000000001	84.0	0.0423575	0.956
4000	Homo sapiens	GSM613879	H3K9ac	None	Monocyte	Blood	9.0	0.9377	0.998	1129.0	0.10611475	0.971
4001	Homo sapiens	GSM613813	H3K9ac	None	T Lymphocyte	Blood	9.0	0.907	0.9990000000000001	101.0	0.024733	0.9448
4002	Homo sapiens	GSM543004	H3K9ac	None	T Lymphocyte	Blood	9.0	0.8895	0.997	43.0	0.0369585	0.9404
4003	Homo sapiens	GSM537705	H3K9ac	None	Hepatocyte	Liver	9.0	0.9888	1.0	61.0	0.02946325	0.9386
4004	Homo sapiens	GSM537660	H3K9ac	None	Epithelium	Pancreatic Islet	9.0	0.9868	0.998	133.0	0.084363	0.9578
4006	Homo sapiens	GSM417823	H3K9me1	None	T Lymphocyte	Blood	32.0	0.5507	0.9229999999999999	42.0	0.015518500000000001	0.7782
4007	Homo sapiens	GSM317598	H3K9me1	None	Proerythroblast	Blood	28.0	0.5833	0.953	16.0	0.00902375	0.60438434747
4008	Homo sapiens	GSM317588	H3K9me1	None	Haematopoietic Progenitor Cell	Bone Marrow	27.0	0.5554	0.9490000000000001	34.0	0.042738	0.7206
4024	Homo sapiens	GSM353654	H3K9me3	None	Epithelium	Prostate	23.0	0.45899999999999996	0.975	23.0	0.002664	0.719101123596
4025	Homo sapiens	GSM317599	H3K9me3	None	Proerythroblast	Blood	26.0	0.4005	0.943	87.0	0.05344425	0.2638
4026	Homo sapiens	GSM317589	H3K9me3	None	Haematopoietic Progenitor Cell	Bone Marrow	22.0	0.3865	0.953	39.0	0.06697675	0.3332
4028	Homo sapiens	GSM670028	H3K9me3	None	Mesenchymal Stem Cell	Bone Marrow	9.0	0.9829	0.9990000000000001		0.0	
4033	Homo sapiens	GSM669995	H3K9me3	None	Haematopoietic Progenitor Cell	Cord blood	32.0	0.6038	0.9840000000000001	94.0	0.0273	0.456
4042	Homo sapiens	GSM669939	H3K9me3	None	Epithelium	Lung	32.0	0.5875	0.991	93.0	0.03054625	0.3912
4047	Homo sapiens	GSM621690	H3K9me3	None	None	Skeletal Muscle	9.0	0.9825	1.0	273.0	0.0018565	0.43705220061399996
4048	Homo sapiens	GSM621681	H3K9me3	None	None	Skeletal Muscle	9.0	0.9834	1.0	215.0	0.00165625	0.424642464246
4049	Homo sapiens	GSM621678	H3K9me3	None	None	Rectal Mucosa	9.0	0.9831	1.0	222.0	0.00192425	0.374658158614
4050	Homo sapiens	GSM621668	H3K9me3	None	Epithelium	Colon	9.0	0.9762	1.0	62.0	0.00544425	0.472222222222
4051	Homo sapiens	GSM621663	H3K9me3	None	Haematopoietic Progenitor Cell	Blood	32.0	0.6423	0.9390000000000001	39.0	0.0061755	0.5564516129029999
4052	Homo sapiens	GSM621660	H3K9me3	None	None	Muscle	9.0	0.9794	1.0	228.0	0.00241225	0.409766454352
4054	Homo sapiens	GSM621633	H3K9me3	None	None	Rectal Mucosa	9.0	0.9805	1.0	243.0	0.00221425	0.374631268437
4056	Homo sapiens	GSM621631	H3K9me3	None	None	Fetal Stomach	9.0	0.9826	1.0	43.0	0.01162775	0.3434
4057	Homo sapiens	GSM621441	H3K9me3	None	Epithelium	Kidney	30.0	0.6997	0.996	404.0	0.0143925	0.395184967704
4058	Homo sapiens	GSM621436	H3K9me3	None	Haematopoietic Progenitor Cell	Blood	31.0	0.5453	0.968	52.0	0.04266825	0.4292
4059	Homo sapiens	GSM621434	H3K9me3	None	Epithelium	Heart	29.0	0.6942	0.987	267.0	0.01004925	0.611280487805
4061	Homo sapiens	GSM621427	H3K9me3	None	None	Brain	30.0	0.7764	0.991	95.0	0.01460975	0.912
4062	Homo sapiens	GSM621426	H3K9me3	None	Mesenchymal Stem Cell	Bone Marrow	9.0	0.9773	1.0	51.0	0.01835775	0.42
4063	Homo sapiens	GSM621399	H3K9me3	None	Haematopoietic Progenitor Cell	Blood	27.0	0.6736	0.983	68.0	0.0193135	0.4192
4064	Homo sapiens	GSM621398	H3K9me3	None	Adipocyte	Adipose	9.0	0.986	1.0	151.0	0.001008	0.398449612403
4065	Homo sapiens	GSM621397	H3K9me3	None	Epithelium	Lung	29.0	0.6905	0.995	426.0	0.0143745	0.45342066957800004
4066	Homo sapiens	GSM621395	H3K9me3	None	None	Duodenum Mucosa	9.0	0.978	1.0	89.0	0.01523925	0.4308
4067	Homo sapiens	GSM621391	H3K9me3	None	Adipocyte	Adipose	9.0	0.9831	1.0	234.0	0.00209575	0.36041009463699997
4075	Homo sapiens	GSM537710	H3K9me3	None	Hepatocyte	Liver	9.0	0.9783	1.0	53.0	0.01995475	0.4252
4076	Homo sapiens	GSM537695	H3K9me3	None	Hepatocyte	Liver	9.0	0.9771	1.0	67.0	0.01375825	0.3856
4077	Homo sapiens	GSM537686	H3K9me3	None	Epithelium	Pancreatic Islet	9.0	0.9803	1.0	52.0	0.02830875	0.3824
4078	Homo sapiens	GSM537663	H3K9me3	None	Haematopoietic Progenitor Cell	Blood	31.0	0.5529	0.862	46.0	0.0423805	0.3882
4079	Homo sapiens	GSM537654	H3K9me3	None	B Lymphocyte	Cord blood	26.0	0.4753	0.965	54.0	0.01665425	0.45854545454499995
4080	Homo sapiens	GSM537653	H3K9me3	None	Haematopoietic Progenitor Cell	Cord blood	25.0	0.3867	0.955	60.0	0.02497375	0.4344127332600001
4083	Homo sapiens	GSM537635	H3K9me3	None	B Lymphocyte	Cord blood	18.0	0.2026	0.9840000000000001	103.0	0.03798425	0.42094861660099997
4086	Homo sapiens	GSM428286	H3K9me3	None	T Lymphocyte	Blood	24.0	0.4552	0.872	1127.0	0.528615	0.9576
4099	Homo sapiens	GSM393964	H4K16ac	None	T Lymphocyte	Blood	34.0	0.624	0.948	88.0	0.01811525	0.9035254883280001
4100	Homo sapiens	GSM393963	H4K16ac	None	T Lymphocyte	Blood	33.0	0.5919	0.922	564.0	0.09858075	0.9554
4101	Homo sapiens	GSM393962	H4K16ac	None	T Lymphocyte	Blood	25.0	0.4791	0.976	425.0	0.01176075	0.943969610636
4103	Homo sapiens	GSM417828	H4K20me1	None	T Lymphocyte	Blood	40.0	0.6374	0.37	8.0	0.000589610140758	0.7555555555560001
4104	Homo sapiens	GSM317600	H4K20me1	None	Proerythroblast	Blood	30.0	0.5679	0.9129999999999999	20.0	0.00334125	0.298089171975
4105	Homo sapiens	GSM317590	H4K20me1	None	Haematopoietic Progenitor Cell	Bone Marrow	27.0	0.5403	0.96	26.0	0.03228725	0.2796
4709	Homo sapiens	GSM392696	H3K4me3	None	Spermatid	None	25.0	0.7461	0.946	197.0	0.09999475	0.7062
4710	Homo sapiens	GSM392697	H3K4me3	None	Spermatid	None	25.0	0.7466	0.943	180.0	0.0987421792615	0.6970000000000001
4711	Homo sapiens	GSM392698	H3K4me3	None	Spermatid	None	30.0	0.7654	0.9590000000000001	657.0	0.17563299999999998	0.7686
4712	Homo sapiens	GSM392699	H3K27me3	None	Spermatid	None	29.0	0.7613	0.975	6.0	0.14209575	0.6236
4713	Homo sapiens	GSM392700	H3K27me3	None	Spermatid	None	30.0	0.779	0.976	9.0	0.18016400000000002	0.6274
5445	Homo sapiens	GSM790213	H3K4me1	EWS502	Small Round Tumor Cell	None	30.0	0.7665	0.997	1932.0	0.15298525	0.8496
5446	Homo sapiens	GSM790214	H3K4me2	EWS502	Small Round Tumor Cell	None	29.0	0.675	0.99	20856.0	0.55575675	0.9732
5447	Homo sapiens	GSM790215	H3K4me3	EWS502	Small Round Tumor Cell	None	29.0	0.8274	0.943	11354.0	0.71421075	0.9816
5448	Homo sapiens	GSM790216	H3K27me3	EWS502	Small Round Tumor Cell	None	39.0	0.8077	0.996	102.0	0.10947475	0.6378
5519	Homo sapiens	GSM854145	H3K4me2	HL-60	Promyeloblast	Blood	35.0	0.7219	0.986	5138.0	0.32277375	0.9542
5520	Homo sapiens	GSM854146	H3K4me2	HL-60	Promyeloblast	Blood	35.0	0.7604	0.986	11968.0	0.48999149999999997	0.9594
5521	Homo sapiens	GSM854147	H3K4me2	HL-60	Promyeloblast	Blood	35.0	0.722	0.985	12047.0	0.51460775	0.9636
5522	Homo sapiens	GSM854148	H3K4me2	HL-60	Promyeloblast	Blood	35.0	0.7804	0.986	11465.0	0.446521	0.9618
5524	Homo sapiens	GSM854150	H3K4me2	TEX	Lymphocyte	Blood	34.0	0.6207	0.975	155.0	0.037522	0.887
5525	Homo sapiens	GSM854151	H3K4me2	TEX	Lymphocyte	Blood	34.0	0.6842	0.879	3160.0	0.16917175	0.9318
5526	Homo sapiens	GSM854152	H3K4me2	TEX	Lymphocyte	Blood	34.0	0.7447	0.99	122.0	0.01531325	0.83
5527	Homo sapiens	GSM854153	H3K4me2	TEX	Lymphocyte	Blood	34.0	0.7269	0.9620000000000001	813.0	0.0984495	0.92
5533	Homo sapiens	GSM811202	H3K4me3	H3396	Epithelium	Mammary Gland	38.0	0.612	0.935	151.0	0.00715675	0.772799365583
5534	Homo sapiens	GSM811203	H3K4me3	H3396	Epithelium	Mammary Gland	37.0	0.7713	0.905	489.0	0.036929500000000004	0.8446
5535	Homo sapiens	GSM811204	H3K4me3	H3396	Epithelium	Mammary Gland	37.0	0.8478	0.9540000000000001	7705.0	0.20065850000000002	0.975
5536	Homo sapiens	GSM811205	H3K4me3	H3396	Epithelium	Mammary Gland	37.0	0.8457	0.961	10221.0	0.3503355	0.9742
5537	Homo sapiens	GSM811206	H3K4me3	H3396	Epithelium	Mammary Gland	37.0	0.5481	0.914	82.0	0.004379500000000001	0.653389830508
5538	Homo sapiens	GSM811207	H3K4me3	H3396	Epithelium	Mammary Gland	37.0	0.6136	0.9309999999999999	91.0	0.00418875	0.738095238095
5557	Homo sapiens	GSM801058	H3/4ac	H3396	Epithelium	Mammary Gland	24.0	0.6703	0.9179999999999999	716.0	0.087243	0.9554
5558	Homo sapiens	GSM801059	H3K18ac	H3396	Epithelium	Mammary Gland	35.0	0.8503	0.995	2097.0	0.04959225	0.9554
5559	Homo sapiens	GSM801060	H3K18ac	H3396	Epithelium	Mammary Gland	35.0	0.8628	0.993	886.0	0.02694525	0.9372
5588	Homo sapiens	GSM810671	Histone Lysine Acetylation	IMR90	Fibroblast	Lung	33.0	0.7262	0.997	120.0	0.03150425	0.8672
5589	Homo sapiens	GSM810672	Histone Lysine Crotonylation	IMR90	Fibroblast	Lung	33.0	0.7061	0.996	1599.0	0.09427150000000001	0.9366
5786	Homo sapiens	GSM818829	H2B	HeLa	Epithelium	Cervix	36.0	0.9877	0.9059999999999999	275.0	0.00948875	0.5964
5787	Homo sapiens	GSM818830	H2BK120ub	HeLa	Epithelium	Cervix	35.0	0.9836	0.7440000000000001	31.0	0.0055	0.3986
5860	Homo sapiens	GSM788633	H3.3	HeLa	Epithelium	Cervix	33.0	0.8673	0.996	119.0	0.01866475	0.9408
5861	Homo sapiens	GSM788634	H3.1	HeLa	Epithelium	Cervix	36.0	0.8806	0.997	38.0	0.004024	0.41418293936300005
5864	Homo sapiens	GSM721527	H3K36me2	KMS11	Plasma Cell	Bone Marrow	37.0	0.8084	0.9840000000000001	53.0	0.00236725	0.316552901024
5865	Homo sapiens	GSM721528	H3K36me2	KMS11	Plasma Cell	Bone Marrow	36.0	0.7659	0.733	231.0	0.011295999999999999	0.2694
5867	Homo sapiens	GSM721530	H3K36me2	TKO2	Myeloid Cell	Blood	36.0	0.7995	0.991	145.0	0.010763	0.3828
5868	Homo sapiens	GSM721531	H3K36me2	TKO2	Myeloid Cell	Blood	36.0	0.765	0.818	295.0	0.0191535	0.3398
5874	Homo sapiens	GSM602672	H3K27me3	BG03	Embryonic Stem Cell	Embryo	31.0	0.2644	0.9670000000000001	9.0	0.010166275945	0.820359281437
5875	Homo sapiens	GSM602673	H3K79me2	BG03	Embryonic Stem Cell	Embryo	31.0	0.7061	0.975	325.0	0.168259	0.6674
6377	Homo sapiens	GSM602258	H2AK9ac	H1	Embryonic Stem Cell	Embryo	37.0	0.7184	0.9990000000000001	41.0	0.00138175	0.598920863309
6378	Homo sapiens	GSM667608	H2AK5ac	H9	Embryonic Stem Cell	Embryo	33.0	0.6856	0.998	39.0	0.00148075	0.5762711864410001
6379	Homo sapiens	GSM667609	H2AK5ac	H9	Embryonic Stem Cell	Embryo	25.0	0.4527	0.993	25.0	0.00075925	0.6980056980060001
6380	Homo sapiens	GSM752962	H2BK120ac	H9	Embryonic Stem Cell	Embryo	38.0	0.7284	0.812	176.0	0.00439475	0.887813021703
6381	Homo sapiens	GSM752963	H2BK20ac	H9	Embryonic Stem Cell	Embryo	38.0	0.741	0.852	34.0	0.0007030000000000001	0.7938596491230001
6382	Homo sapiens	GSM752964	H3K14ac	H9	Embryonic Stem Cell	Embryo	38.0	0.7612	0.991	201.0	0.004371	0.947300771208
6383	Homo sapiens	GSM752965	H3K27ac	iPS DF 19.11	iPSC	Foreskin	36.0	0.6794	0.9940000000000001	4897.0	0.15047075	0.9756
6384	Homo sapiens	GSM752966	H3K27ac	iPS DF 19.11	iPSC	Foreskin	36.0	0.732	0.991	805.0	0.076125	0.945
6385	Homo sapiens	GSM752967	H3K27ac	iPS DF 6.9	iPSC	None	37.0	0.6616	0.9940000000000001	194.0	0.01696275	0.8902
6386	Homo sapiens	GSM752968	H3K27me3	H1	Embryonic Stem Cell	Embryo	31.0	0.5926	0.998	241.0	0.002188	0.595375722543
6388	Homo sapiens	GSM752970	H3K27me3	iPS DF 19.11	iPSC	Foreskin	36.0	0.7172	0.982	264.0	0.0398445	0.7014
6389	Homo sapiens	GSM752971	H3K27me3	iPS DF 6.9	iPSC	None	38.0	0.6701	0.988	63.0	0.00811575	0.626780626781
6390	Homo sapiens	GSM752972	H3K36me3	H1	Embryonic Stem Cell	Embryo	32.0	0.611	0.9990000000000001	237.0	0.0023265	0.613251155624
6391	Homo sapiens	GSM752973	H3K36me3	H1	Embryonic Stem Cell	Embryo	35.0	0.5455	0.996	65.0	0.03986675	0.4498
6392	Homo sapiens	GSM752974	H3K36me3	iPS DF 19.11	iPSC	Foreskin	38.0	0.4386	0.991	50.0	0.01663675	0.5178
6393	Homo sapiens	GSM752975	H3K36me3	iPS DF 6.9	iPSC	None	37.0	0.3963	0.992	77.0	0.01265475	0.5432
6394	Homo sapiens	GSM752976	H3K56ac	H9	Embryonic Stem Cell	Embryo	38.0	0.7484	0.9159999999999999	264.0	0.00960125	0.9148
6395	Homo sapiens	GSM752977	H3K4me1	H1	Embryonic Stem Cell	Embryo	3.0	0.605	0.9990000000000001	16.0	0.06747625	0.7874
6396	Homo sapiens	GSM752978	H3K4me1	H1	Embryonic Stem Cell	Embryo	37.0	0.7447	0.998	94.0	0.11321025	0.8436
6397	Homo sapiens	GSM752979	H3K4me1	iPS DF 19.11	iPSC	Foreskin	38.0	0.4818	0.991	63.0	0.02251025	0.7274
6398	Homo sapiens	GSM752980	H3K4me1	iPS DF 6.9	iPSC	None	37.0	0.4666	0.9940000000000001	58.0	0.01361575	0.7058
6399	Homo sapiens	GSM752981	H3K4me2	H1	Embryonic Stem Cell	Embryo	29.0	0.5753	0.998	35.0	0.00214175	0.792260692464
6400	Homo sapiens	GSM752982	H3K4me2	H1	Embryonic Stem Cell	Embryo	31.0	0.5612	0.992	402.0	0.103193695895	0.9196
6401	Homo sapiens	GSM752983	H3K4me3	H1	Embryonic Stem Cell	Embryo	30.0	0.5965	0.997	4009.0	0.19475575	0.9752
6402	Homo sapiens	GSM752984	H3K4me3	iPS DF 19.11	iPSC	Foreskin	37.0	0.3901	0.976	3342.0	0.07759025	0.9694
6403	Homo sapiens	GSM752985	H3K4me3	iPS DF 6.9	iPSC	None	36.0	0.4652	0.993	260.0	0.02418875	0.9518
6404	Homo sapiens	GSM752986	H3K9me1	IMR90	Fibroblast	Lung	27.0	0.4577	0.996	96.0	0.0374805	0.762
6405	Homo sapiens	GSM752987	H3K9me1	IMR90	Fibroblast	Lung	29.0	0.6634	0.988	53.0	0.02882225	0.7932
6406	Homo sapiens	GSM752988	H3K9me3	iPS DF 19.11	iPSC	Foreskin	37.0	0.3795	0.985	90.0	0.02419125	0.4026
6407	Homo sapiens	GSM752989	H3K9me3	iPS DF 6.9	iPSC	None	36.0	0.6633	0.995	186.0	0.0037595	0.6110056925999999
6408	Homo sapiens	GSM752990	H4K5ac	H1	Embryonic Stem Cell	Embryo	38.0	0.6989	0.996	27.0	0.0012045	0.801749271137
6409	Homo sapiens	GSM752991	H4K91ac	H1	Embryonic Stem Cell	Embryo	38.0	0.7124	0.9940000000000001	20.0	0.0005639999999999999	0.705882352941
6412	Homo sapiens	GSM753425	H3K27ac	H1	Embryonic Stem Cell	Embryo	38.0	0.6614	0.998	58.0	0.00297775	0.653543307087
6413	Homo sapiens	GSM753426	H3K27ac	H1	Embryonic Stem Cell	Embryo	9.0	0.9952	1.0	5349.0	0.23488925	0.9512
6414	Homo sapiens	GSM753427	H3K27ac	H1	Embryonic Stem Cell	Embryo	38.0	0.4696	0.9890000000000001	1160.0	0.058878	0.9186
6415	Homo sapiens	GSM753428	H3K27ac	H1	Embryonic Stem Cell	Embryo	39.0	0.5382	0.987	193.0	0.00943	0.875828658848
6416	Homo sapiens	GSM753429	H3K27ac	H1	Embryonic Stem Cell	Embryo	38.0	0.4635	0.992	428.0	0.0146055	0.9109999999999999
6417	Homo sapiens	GSM753430	H3K27me3	H1	Embryonic Stem Cell	Embryo	39.0	0.3538	0.966	34.0	0.00278525	0.795566502463
6418	Homo sapiens	GSM753431	H3K27me3	H1	Embryonic Stem Cell	Embryo	36.0	0.4387	0.9840000000000001	263.0	0.003389	0.617571059432
6419	Homo sapiens	GSM753432	H3K36me3	H1	Embryonic Stem Cell	Embryo	37.0	0.6467	0.9890000000000001	325.0	0.08835549999999999	0.43799999999999994
